f,S11,S12,S21,S22
1.0,(2.659637418985848e-06+9.200194578695654e-08j),(3.446841717748246e-07+2.7244523408479753e-07j),(3.446841717748244e-07+2.7244523408479737e-07j),(2.634648484877019e-06+4.145617655764703e-08j)
50000.9995,(4.7024355754317094e-05+0.0009527711437926328j),(7.908286200342346e-05+0.0006210315493097072j),(7.908286200342354e-05+0.0006210315493097073j),(4.1367460396721566e-05+0.0009415078255789112j)
100000.999,(7.297759474654704e-05+0.001879727808561649j),(0.00011671161135295093+0.001207536013489336j),(0.00011671161135295088+0.0012075360134893346j),(6.488260296891706e-05+0.0018638495507889185j)
150000.9985,(9.980462215872952e-05+0.0028022677046232584j),(0.00015052691823843839+0.0017881758081097613j),(0.00015052691823843836+0.00178817580810976j),(8.977494761064034e-05+0.002782882299353179j)
200000.998,(0.00012950438173740987+0.003722413069268482j),(0.0001840815165267965+0.0023656722177446757j),(0.0001840815165267964+0.0023656722177446752j),(0.00011779067548032166+0.0037000998580298153j)
250000.9975,(0.0001628449737582695+0.004640931369375247j),(0.00021874487870821637+0.0029410690171445156j),(0.00021874487870821632+0.0029410690171445143j),(0.00014960135674477694+0.004616064491584003j)
300000.997,(0.00020021671377991616+0.0055582022710312685j),(0.0002552155808682884+0.0035148914315425535j),(0.00025521558086828824+0.003514891431542551j),(0.00018554849176941068+0.005531050396846627j)
350000.9965,(0.00024184891992838699+0.0064744391513585865j),(0.00029390600807201715+0.004087442316591104j),(0.00029390600807201737+0.004087442316591103j),(0.00022583281384995266+0.006445208175232761j)
400000.996,(0.0002878889984268564+0.007389770333806764j),(0.00033508284065238305+0.004658910783612078j),(0.0003350828406523831+0.004658910783612075j),(0.0002705833786000908+0.007358625176524214j)
450000.99549999996,(0.00033843763923018845+0.008304275429289477j),(0.0003789296403580848+0.005229420794200609j),(0.00037892964035808455+0.005229420794200604j),(0.0003198883239528134+0.008271352506192427j)
500000.995,(0.0003935666467118382+0.009218003843091713j),(0.00042557859101509843+0.005799055906714729j),(0.00042557859101509816+0.005799055906714728j),(0.00037381046011941975+0.009183418785342314j)
550000.9945,(0.00045332884622810454+0.01013098511082134j),(0.00047512815214319356+0.006367873096343236j),(0.0004751281521431936+0.006367873096343235j),(0.0004323959347830469+0.01009483783917354j)
600000.994,(0.0005177639839796651+0.011043235086329753j),(0.0005276535838346793+0.006935911028321356j),(0.0005276535838346791+0.006935911028321349j),(0.000495679395766733+0.011005613302183546j)
650000.9935,(0.0005869024369164293+0.011954759853399475j),(0.0005832135720266161+0.00750319528733588j),(0.0005832135720266161+0.007503195287335877j),(0.0005636872387160267+0.011915741530864088j)
700000.993,(0.000660767649969375+0.012865558309353008j),(0.0006418545856422577+0.00806974183102838j),(0.0006418545856422572+0.008069741831028371j),(0.0006364397415569373+0.012825213528566685j)
750000.9924999999,(0.0007393777960088071+0.013775623934322943j),(0.0007036138473135481+0.008635559354584212j),(0.0007036138473135477+0.008635559354584207j),(0.0007139525188465403+0.013734016264457423j)
800000.992,(0.0008227469411639645+0.014684946040230431j),(0.0007685214210563717+0.009200650959611981j),(0.000768521421056371+0.00920065095961197j),(0.0007962375431908182+0.014642133605218294j)
850000.9915,(0.0009108858842729864+0.015593510675624672j),(0.0008366017176820342+0.009765015362864345j),(0.0008366017176820337+0.009765015362864343j),(0.0008833038813518419+0.015549546990521005j)
900000.9909999999,(0.001003802775202165+0.016501301296057237j),(0.0009078746047402247+0.010328647791454091j),(0.0009078746047402241+0.010328647791454083j),(0.0009751582366937002+0.016456235933871917j)
950000.9905,(0.00110150357921942+0.017408299270569437j),(0.000982356240898514+0.010891540658940145j),(0.0009823562408985134+0.010891540658940137j),(0.0010718053567620597+0.017362178401354504j)
1000000.99,(0.0012039924317748469+0.01831448427103372j),(0.0010600597139660219+0.011453684084782877j),(0.0010600597139660214+0.011453684084782874j),(0.001173248344823367+0.01826735110306332j)
1050000.9895,(0.0013112719137098434+0.019219834576090517j),(0.001140995536216448+0.012015066299611295j),(0.0011409955362164472+0.012015066299611287j),(0.001279488901656767+0.019171729720865574j)
1100000.989,(0.0014233432676710007+0.02012432731172051j),(0.001225172034172802+0.012575673965771807j),(0.0012251720341728014+0.0125756739657718j),(0.0013905275157916402+0.020075289088905126j)
1150000.9885,(0.0015402065704059316+0.02102793864406088j),(0.0013125956591070929+0.013135492434029228j),(0.0013125956591070922+0.013135492434029217j),(0.0015063636150486307+0.02097800333847802j)
1200000.988,(0.0016618608714685326+0.02193064393571767j),(0.0014032712371332254+0.013694505951464668j),(0.0014032712371332247+0.013694505951464661j),(0.0016269956886125615+0.02187984601566437j)
