f,sscd21,sscd11,sscc21,sscc11,ssdd21,ssdd11,s11,s21,s12,s22
1000000000.0,(-0.002304964913379115-0.0018722659777848372j),(-0.0022965582331381414-0.004417196672414685j),(0.9483059706669421-0.22719196906881511j),(-0.01069264795030406-0.0325230456256132j),(0.9188562812591241-0.2639825935464958j),(-0.05723940305668607-0.1387481952542805j),(-0.03166946727035713-0.0812184237675318j),(0.014724844703908935+0.018395312238840625j),(0.014724844703909085+0.018395312238840045j),(-0.03626258373663388-0.09005281711236171j)
1008016032.0641283,(-0.0026790658523548894-0.0019574185675739486j),(-0.002888924447990481-0.005159694758091693j),(0.9346885437967469-0.27667632446371604j),(-0.014321722304566258-0.039087153213491765j),(0.8965131114884235-0.3172269948913371j),(-0.07540048566514976-0.1644229999711985j),(-0.04197217953686746-0.0965953818342535j),(0.019087716154161688+0.0202753352138105j),(0.019087716154161598+0.02027533521381065j),(-0.04775002843284897-0.10691477135043673j)
1016032064.1282566,(-0.00308503815676503-0.0019702066167186505j),(-0.0035600472550379215-0.005813028725837478j),(0.9184551077443015-0.32531184693649684j),(-0.0186186700556138-0.04522885836303946j),(0.8706436715974692-0.36785497104154596j),(-0.09626695123539952-0.18747426216318502j),(-0.05388276339046886-0.11053853153727497j),(0.023905718073416092+0.021271562052524437j),(0.023905718073416148+0.02127156205252473j),(-0.061002857900544355-0.12216458898894962j)
1024048096.1923847,(-0.0035086555571314237-0.0019060257165524619j),(-0.004294747060060576-0.006369459730931913j),(0.8996650717961813-0.37295535231042387j),(-0.023533868552623884-0.050880391417414024j),(0.8416604302722059-0.415597108785574j),(-0.11941208489362262-0.20763103579127556j),(-0.06717822966306261-0.12288625387341275j),(0.029002320761987842+0.02132087823757515j),(0.029002320761987794+0.0213208782375747j),(-0.07576772378318454-0.13562517333527643j)
1032064128.256513,(-0.003935435055035186-0.0017631539968215593j),(-0.005077420480269455-0.006824138497284256j),(0.8783863276475137-0.4194688913993295j),(-0.029010850996860724-0.05597994254219251j),(0.8099923337327251-0.46026132152171406j),(-0.14439016945140468-0.22470057671926913j),(-0.08162308974386336-0.1335161211334466j),(0.034196996957394116+0.02039621506119203j),(0.03419699695739443+0.020396215061192737j),(-0.0917779307044013-0.1471643981280154j)
1040080160.3206413,(-0.004351230900446368-0.0015426145174562977j),(-0.005892626861159787-0.007174970068589269j),(0.854694634684158-0.4647203251406622j),(-0.034987054291915516-0.06047234138539557j),(0.7760692411048069-0.5017302595767168j),(-0.17075199444325953-0.2385659182709494j),(-0.09697689750642784-0.14234415975958328j),(0.03931269678967546+0.018504967218027246j),(0.03931269678967535+0.01850496721802764j),(-0.10876215122874709-0.15669409989676178j)
1048096192.3847696,(-0.004742744585583436-0.0012479198779073442j),(-0.006725589758499337-0.007422361863227929j),(0.8286729614753807-0.5085838103459057j),(-0.04139463015701837-0.06430963633181233j),(0.7403083667831455-0.5399556416675892j),(-0.19805835143236442-0.2491803839387661j),(-0.11300090103619205-0.14932264827206126j),(0.044182297346117644+0.015685915660841952j),(0.044182297346117685+0.015685915660841564j),(-0.12645208055319077-0.16416737199851708j)
1056112224.4488978,(-0.00509793197116537-0.0008847331297966998j),(-0.00756259454554354-0.007568889300203198j),(0.8004107978260863-0.5509401934153264j),(-0.04816130494602456-0.06745156891948043j),(0.7031032324347386-0.5749503505257003j),(-0.22589101378144869-0.25655988301901844j),(-0.12946356481819293-0.15443683666904615j),(0.048653782695673935+0.012005078555187107j),(0.048653782695674136+0.012005078555186656j),(-0.14458875390927992-0.16957461526945292j)
1064128256.513026,(-0.005406300426322785-0.0004604793437905097j),(-0.008391275084268096-0.0076189135425037136j),(0.770003451469031-0.5916773116757554j),(-0.055211273797830265-0.06986594118483315j),(0.6648153363305986-0.6067791498124706j),(-0.25386099428574116-0.2607738492981481j),(-0.14614485895751766-0.15770098169898705j),(0.052594057569216146+0.007550919068357581j),(0.052594057569215834+0.007550919068357864j),(-0.16292740912605375-0.17293880878399417j)
1072144288.5771543,(-0.005659098771072957+1.6061001247291706e-05j),(-0.009200792323597974-0.0075781827367021465j),(0.7375513428833395-0.6306902041212056j),(-0.062466115228125625-0.0715288757039702j),(0.6257684974599801-0.6355488061658995j),(-0.2816141245976137-0.2619356098928963j),(-0.16283932758927183-0.15915406006173127j),(0.05589142271167964+0.0024293010223468956j),(0.05589142271167958+0.0024293010223471953j),(-0.18124091223646777-0.17431042553513498j)
1080160320.6412826,(-0.00584941014704593+0.0005351510431670925j),(-0.009981915044918098-0.007453442739640631j),(0.7031593108630922-0.6678812352458015j),(-0.06984571299751896-0.07242496988233266j),(0.586245644834652-0.6613982699281449j),(-0.3088341877899944-0.26019284135316245j),(-0.17935803534883862-0.15885546287810698j),(0.05845683301422012-0.003241482658828456j),(0.058456833014220284-0.0032414826588281903j),(-0.19932186543867436-0.17376234835738846j)
1088176352.7054107,(-0.005972162548236515+0.0010864696419961573j),(-0.010727017606521436-0.007252076910248331j),(0.6669359403759697-0.7031601373440117j),(-0.07726917300705223-0.07254734760463653j),(0.546487703100028-0.6844894107026416j),(-0.3352439551539976-0.2557186130536167j),(-0.19552954647400367-0.15688090341887861j),(0.06022411863797062-0.009335363320685413j),(0.06022411863797093-0.009335363320684811j),(-0.2169835816870462-0.17138505723937442j)
1096192384.769539,(-0.0060240738695089835+0.0016594437050492794j),(-0.01143001169537275-0.00698178808990578j),(0.6289929229866472-0.736443978105445j),(-0.08465572403627317-0.07189761268584605j),(0.5066941682239203-0.7049986441151992j),(-0.36060453623410327-0.2487033584633845j),(-0.21120011843981548-0.15331869748470942j),(0.06114937738136359-0.015722666995122765j),(0.061149377381363265-0.015722666995123064j),(-0.23406014183056054-0.16728227366452167j)
1104208416.8336673,(-0.006003548466968434+0.0022435336979171328j),(-0.012086229268111343-0.006650330085547766j),(0.5894444587092107-0.7676570615420502j),(-0.09192559231248598-0.07048570965886111j),(0.46702495967336216-0.7231096414479918j),(-0.38471345915099586-0.23934797052544304j),(-0.22623329646362966-0.14826651000660454j),(0.06120974951792419-0.022273710047029445j),(0.061209749517924246-0.022273710047029285j),(-0.25040575499985246-0.16156717017769912j)
1112224448.8977957,(-0.0059105409490377014+0.00282847009929732j),(-0.012692272632512866-0.006265291195096265j),(0.5484067066328382-0.7967307712474929j),(-0.09900084114491357-0.06832969829382142j),(0.4276031638380773-0.7390071941922842j),(-0.4074018707486513-0.22785809810107616j),(-0.2405090833142695-0.14182860700235245j),(0.06040177139738045-0.028861788527604303j),(0.0604017713973806-0.028861788527604515j),(-0.2658936285792953-0.15435918939254506j)
1120240480.9619238,(-0.005746400783249173+0.0034044421738517183j),(-0.013245845540002632-0.005833928714377608j),(0.5059972900713408-0.8236033656973871j),(-0.1058061681360278-0.06545544886917146j),(0.3885183337506213-0.7528722147752491j),(-0.4285311968200527-0.21443962997275007j),(-0.2539228369380377-0.13411361070658318j),(0.058739478160359716-0.035365575461069006j),(0.058739478160359654-0.03536557546106879j),(-0.28041452801804273-0.14578146813533857j)
1128256513.026052,(-0.005513708773801612+0.003962242916679626j),(-0.013745576692657635-0.005363050897724202j),(0.4623348603572355-0.8482197357544456j),(-0.11226965375639295-0.06189626561296301j),(0.349830070825099-0.7648777919783707j),(-0.4479895432085896-0.19929529044835959j),(-0.26638402178983367-0.125232727132937j),(0.05625239476606838-0.041670971888037346j),(0.05625239476606792-0.041670971888037395j),(-0.2938751751751493-0.13595882892838462j)
1136272545.0901804,(-0.005216113883131729+0.004493375513574538j),(-0.014190844560435179-0.004858941362346509j),(0.4175387217714056-0.8705311347498137j),(-0.11832345630155616-0.05769244591708243j),(0.311571676728458-0.7751861813365428j),(-0.4656880576432095-0.1826222325954746j),(-0.27781491241194767-0.11529839789393212j),(0.0529835225214737-0.04767247670663549j),(0.05298352252147392-0.047672476706635186j),(-0.30619660153281786-0.1250162806186252j)
